ticker,name,companyCode,companyName,custodianCode,custodianName,indexTicker,indexName,indexStartDate,managerNames,establishDate,assetal,assetalName,manage,manageName,organizationform,organizationformName,investarea,investareaName,exchangemarket,exchangemarketName,assetalNet,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y,navAnnualReturns2y,navAnnualReturns3y,navAnnualReturns5y,navAnnualReturns10y,navBeta3mJSW001,navBeta6mJSW001,navBeta9mJSW001,navBeta1yJSW001,navBeta2yJSW001,navBeta3yJSW001,navBeta5yJSW001,navBeta10yJSW001,navBeta15yJSW001,navBetaYtdJSW001,navBetaAllJSW001,navBeta2007JSW001,navBeta2015JSW001,trackingError,navBeta2008JSW001,navBeta2016JSW001,pctOfFloat,pctOfStock,stkShares,isEnd,pctOfNav
007842,南华杭州联接A,80554846,南华基金,10000001,浦发银行,'931033,杭州湾区,2020-04-23,{'30579934': '莫志刚'},2020-04-23,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,0.41,1.3946,人民币,-3.28,2.11,11.91,18.59,23.65,44.04,9.34,--,--,--,--,--,1.05,1.07,0.84,--,--,--,--,--,--,--,0.84,--,--,0.11,--,--,--,--,--,False,--
010202,天弘科技100指数A,80041198,天弘基金,80000123,国泰君安,'931187,科技100,2020-10-28,"{'30303141': '杨超', '30562763': '刘笑明'}",2020-10-28,Stock,股票,EnhancedIndex,增强指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,3.62,1.1581,人民币,-4.22,3.58,14.37,--,--,--,11.73,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.03,--,--,0.29,--,--,--,--,--,False,--
515580,华泰中证科技,80055334,华泰柏瑞,10000018,中信证券,'931187,科技100,2019-09-27,{'30050008': '柳军'},2019-09-27,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,8.97,1.738,人民币,-4.6,2.44,12.61,19.09,21.48,61.11,10.15,56.86,--,--,--,--,1.22,1.29,1.08,1.16,--,--,--,--,--,--,1.13,--,--,0.03,--,--,--,--,--,False,--
008399,华泰科技ETF联接A,80055334,华泰柏瑞,10000018,中信证券,'931187,科技100,2020-02-26,{'30050008': '柳军'},2020-02-26,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,5.75,1.483,人民币,-4.37,2.48,11.99,18.19,20.63,60.63,9.75,--,--,--,--,--,1.15,1.23,1.02,--,--,--,--,--,--,--,0.85,--,--,0.09,--,--,--,--,--,False,--
512760,国泰芯片ETF,80000224,国泰基金,80001122,中国银行,'990001,中华半导体芯片(人民币),2020-03-09,{'30260621': '艾小军'},2019-05-16,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,130.91,1.2586,人民币,-3.73,-3.91,12.06,19.02,8.88,46.25,10.19,33.97,--,--,--,--,1.14,1.44,1.57,1.42,--,--,--,--,--,--,1.37,--,--,0.13,--,--,--,--,--,False,--
008281,国泰CESETF联接A,80000224,国泰基金,80001122,中国银行,'990001,中华半导体芯片(人民币),2020-03-09,{'30419711': '梁杏'},2019-11-22,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,36.05,1.6502,人民币,-3.49,-3.64,11.37,17.91,9.29,44.1,9.62,37.19,--,--,--,--,1.07,1.31,1.43,1.25,--,--,--,--,--,--,1.15,--,--,0.19,--,--,--,--,--,False,--
159815,招商浙江100ETF,80036782,招商基金,80048783,浙商银行,'931163,浙江100,2020-08-03,{'30550809': '刘重杰'},2020-08-03,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SZSE,深交所上市,0.69,1.1691,人民币,-3.4,4.32,13.23,23.39,--,--,10.72,--,--,--,--,--,1.12,--,--,--,--,--,--,--,--,--,1.08,--,--,0.18,--,--,--,--,--,False,--
515920,博时智能消费,80000226,博时基金,80507977,申万宏源证券,'930648,CS智消费,2020-12-30,{'30257052': '尹浩'},2020-12-30,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,7.31,0.984,人民币,-4.29,0.97,--,--,--,--,2.69,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1.66,--,--,--,--,--,False,--
585001,东吴中证指数,80048161,东吴基金,80001120,农业银行,'000964,中证新兴,2011-02-01,{'30165688': '周健'},2011-02-01,Stock,股票,Index,传统指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,0.84,1.8471,人民币,-3.58,1.06,12.32,23.45,25.38,60.75,9.45,57.52,46.15,14.59,13.91,--,1.2,1.33,1.12,1.11,1.2,1.19,1.09,--,--,--,1.09,--,1.09,0.11,--,1.09,--,--,--,False,--
160221,国泰有色指数,80000224,国泰基金,80001068,建设银行,'399395,国证有色,2021-01-01,{'30316741': '谢东旭'},2021-01-01,Stock,股票,Index,传统指数型,LOF,LOF,Domestic,投资境内,SZSE,深交所上市,28.2,1.158,人民币,-3.72,3.29,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.13,--,--,--,--,--,False,--
501005,中证精准医疗A,80053708,汇添富,80001067,工商银行,'930719,CS精准医,2016-01-21,{'30057296': '吴振翔'},2016-01-21,Stock,股票,Index,传统指数型,LOF,LOF,Domestic,投资境内,SHSE,上交所上市,17.19,1.8442,人民币,-3.24,5.27,10.25,10.14,6.04,47.6,9.13,70.72,68.82,25.13,13.75,--,1.01,1.28,0.68,0.67,0.86,1.06,0.96,--,--,--,0.96,--,--,0.1,--,0.97,--,--,--,False,--
161629,融通精准指数,80000231,融通基金,80001068,建设银行,'930719,CS精准医,2020-11-20,{'30132445': '何天翔'},2020-11-20,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,Unlisted,未上市,0.32,1.4061,人民币,-3.31,5.13,10.31,--,--,--,8.91,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.94,--,--,0.56,--,--,--,--,--,False,--
161726,招商生物医药,80036782,招商基金,80001122,中国银行,'399441,生物医药,2021-01-01,{'30510736': '侯昊'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,SZSE,深交所上市,149.84,0.9943,人民币,-3.01,4.93,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.13,--,--,--,--,--,False,--
161217,国投资源指数,80000233,国投瑞银,80001067,工商银行,'000961,中证上游,2011-07-21,{'30243390': '殷瑞飞'},2011-07-21,Stock,股票,Index,传统指数型,LOF,LOF,Domestic,投资境内,SZSE,深交所上市,1.44,0.932,人民币,-3.29,2.34,8.44,31.34,30.45,62.29,9.05,43.88,30.16,5.84,13.76,--,1.46,1.04,1.06,1.06,1.12,1.04,1.03,--,--,--,0.99,--,1.01,0.13,--,1.03,--,--,--,False,--
159807,易基科技ETF,80000229,易方达基金,80001122,中国银行,'931380,科技50,2020-03-16,{'30636609': '张湛'},2020-03-16,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SZSE,深交所上市,12.43,1.6908,人民币,-4.69,1.18,13.33,23.34,26.86,69.14,9.41,--,--,--,--,--,1.24,1.22,1.04,--,--,--,--,--,--,--,1.04,--,--,0.04,--,--,--,--,--,False,--
690008,民生中证指数,80106677,民生加银,80001068,建设银行,'000944,内地资源,2012-03-08,"{'30569850': '武杰', '30382251': '蔡晓'}",2012-03-08,Stock,股票,Index,传统指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,0.86,0.806,人民币,-3.4,2.58,8.88,31.96,27.13,52.47,9.88,32.59,19.6,-1.13,7.72,--,1.53,1.1,1.11,1.11,1.11,1.01,1.02,--,--,--,0.99,--,1.0,0.12,--,1.02,--,--,--,False,--
512400,南方有色金属ETF,80000220,南方基金,80001067,工商银行,'000819,有色金属,2017-08-03,{'30571936': '崔蕾'},2017-08-03,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,55.76,1.0719,人民币,-3.67,3.43,8.78,38.54,30.29,73.24,8.93,54.16,38.95,5.32,--,--,1.95,1.46,1.32,1.35,1.4,1.3,--,--,--,--,1.26,--,--,0.03,--,--,--,--,--,False,--
004432,南方有色联接A,80000220,南方基金,80001067,工商银行,'000819,有色金属,2017-09-08,{'30571936': '崔蕾'},2017-09-08,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,9.19,1.0643,人民币,-3.44,3.28,8.49,36.63,29.34,67.21,8.9,49.81,36.54,5.19,--,--,1.83,1.38,1.19,1.23,1.29,1.21,--,--,--,--,1.18,--,--,0.16,--,--,--,--,--,False,--
159944,广发全指材料ETF,80000248,广发基金,80001122,中国银行,'000987,全指材料,2015-06-25,{'30071658': '陆志明'},2015-06-25,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SZSE,深交所上市,0.3,1.0374,人民币,-3.11,1.56,9.14,21.39,22.13,50.16,8.82,43.33,29.93,2.7,9.56,--,1.28,1.29,1.08,1.13,1.18,1.16,1.16,--,--,--,1.12,--,--,0.02,--,1.16,--,--,--,False,--
160638,鹏华带路指数,80000230,鹏华基金,10000020,招商银行,'399991,一带一路,2021-01-01,{'30687965': '罗英宇'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,SZSE,深交所上市,3.21,1.454,人民币,-3.28,0.87,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.09,--,--,--,--,--,False,--
167503,安信一带指数,80163340,安信基金,80000012,招商证券,'399991,一带一路,2021-01-01,{'30632942': '施荣盛'},2021-01-01,Stock,股票,EnhancedIndex,增强指数型,LOF,LOF,Domestic,投资境内,Unlisted,未上市,--,1.325,人民币,-3.29,0.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.08,--,--,--,--,--,False,--
515860,嘉实科技100ETF,80000223,嘉实基金,80001122,中国银行,'931165,新兴科技100,2019-09-26,"{'30530911': '李直', '30565630': '金猛', '30587924': '高峰'}",2019-09-26,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,4.56,1.5154,人民币,-4.48,1.7,12.52,9.39,7.37,32.86,8.92,31.84,--,--,--,--,1.0,1.15,1.02,1.05,--,--,--,--,--,--,1.03,--,--,0.04,--,--,--,--,--,False,--
